2026-02-19T22:39:50.900000+00:00	Successful	Launching a new EC2 instance: i-01984d504395fe9ef	At 2026-02-19T22:39:49Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:37:53.263000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1c). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1b, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:37:49Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:36:48.337000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1b). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1c, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:36:44Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:35:44.081000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1b). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1c, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:35:40Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:34:39.637000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1c). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1b, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:34:35Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:33:34.129000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1a). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1b, us-east-1c, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:33:30Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:33:24.781000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1b). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1c, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:33:20Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:33:15.117000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1c). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1b, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:33:11Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:33:05.771000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1b). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1c, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:33:01Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
2026-02-19T22:32:55.342000+00:00	Failed	Launching a new EC2 instance.  Status Reason: We currently do not have sufficient g4dn.xlarge capacity in the Availability Zone you requested (us-east-1c). Our system will be working on provisioning additional capacity. You can currently get g4dn.xlarge capacity by not specifying an Availability Zone in your request or choosing us-east-1a, us-east-1b, us-east-1d, us-east-1f. Launching EC2 instance failed.	At 2026-02-19T22:32:51Z an instance was started in response to a difference between desired and actual capacity, increasing the capacity from 0 to 1.
